_id,author_name,cover_type,name,num_page,price,provider,publisher,release_year,size,url,weight
629cf7ac56a95be487d01869,Alpha Books,Bìa mềm,Sách - Thoát nạn trong gang tấc tập 3 - Ở trường (Tái bản 2018),,59.000,Nhà sách Alpha Books,Dân Trí,2018,24x16x1 (cm),https://book365.vn/sach/1099236_sach-thoat-nan-trong-gang.html,400 (g)
629cf7ac56a95be487d01871,Jonh C.Maxwell,Bìa mềm,Sách - 25 Thuật đắc nhân tâm,,99.000,Nhà sách Alpha Books,Lao Động,2017,20x13x5 (cm),https://book365.vn/sach/1099511_sach-25-thuat-dac-nhan.html,500 (g)
629cf7ac56a95be487d01875,George R.R.Martin,Bìa mềm,Trò chơi vương quyền 1B- Vua Phương Bắc,,199.000,Nhà sách Alpha Books,Hồng Đức,2019,22x14x5 (cm),https://book365.vn/sach/1099721_tro-choi-vuong-quyen-1b-.html,500 (g)
629cf7ac56a95be487d0188d,Thẩm Linh,Bìa mềm, Lời Nhắn Nhủ Từ Carnegie Dành Cho Thanh Thiếu Niên - 24 Bí Quyết Dẫn Dắt Bạn Bước Tới Thành Công (Tái Bản),180,85.000,Minh Long Book,Thanh Niên,2021,24x18x1 (cm),https://book365.vn/sach/1161679_ loi-nhan-nhu-tu-carnegie.html,350 (g)
629cf7ac56a95be487d016a4,NGUYỄN DƯỢC,Bìa mềm,Lí luận dạy học Địa lí,296,42.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2012, (cm),https://book365.vn/sach/1127873_li-luan-day-hoc-dia-li.html,450 (g)
629cf7ac56a95be487d016b2,"Jean-Baptiste de Panafieu, Marie de Monti, Laurent Audouin",Bìa mềm,"Đa dạng sinh học - Tớ Khám Phá, Tớ Hiểu, Tớ Hành Động - Công Dân Nhí Bảo Vệ Tự Nhiên",156,36.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2011, (cm),https://book365.vn/sach/1129089_da-dang-sinh-hoc-to-kham.html,300 (g)
629cf7ac56a95be487d016ba,NGUYỄN XUÂN TRƯỜNG,Bìa mềm,Sử dụng bài tập trong dạy học hoá học ở trường phổ thông,142,29.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2012, (cm),https://book365.vn/sach/1128114_su-dung-bai-tap-trong-day.html,250 (g)
629cf7ac56a95be487d016e8,NGUYỄN XUÂN HẢI,Bìa mềm,Giáo trình Quản lí giáo dục hòa nhập cộng đồng,162,45.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2018, (cm),https://book365.vn/sach/1129219_giao-trinh-quan-li-giao-duc.html,350 (g)
629cf7ac56a95be487d01709,Đinh Quang Báo (CB),Bìa mềm,Dạy học phát triển năng lực môn Sinh học (THCS),185,75.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2018, (cm),https://book365.vn/sach/1130979_day-hoc-phat-trien-nang.html,350 (g)
629cf7ac56a95be487d0170b,CHU CẨM THƠ,Bìa mềm,Phát triển tư duy thông qua dạy học môn toán ở trường phổ thông,160,49.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2016, (cm),https://book365.vn/sach/1127996_phat-trien-tu-duy-thong-qua.html,350 (g)
629cf7ac56a95be487d01718,NGUYỄN DOÃN TUẤN,Bìa mềm,Giáo trình Hình học vi phân,196,59.000,Nhà xuất bản Đại học Sư phạm,Đại học Sư phạm,2017, (cm),https://book365.vn/sach/1127956_giao-trinh-hinh-hoc-vi-phan.html,300 (g)
